2020 date,City,State,Dead,Injured,Total,Description
9/3/20,Hensley,Arkansas,1,3,4,"A nineteen-year-old was killed and two nineteen-year-old and an eighteen-year-old were injured, when a car pulled up alongside their vehicle and opened fire on I-530.[202]"
9/2/20,Philadelphia(19),Pennsylvania,2,2,4,Two seventeen-year-olds were killed and a seventeen and eighteen year old wounded in a shooting in Point Breeze.[203]
9/2/20,Albany (Ga)(2),Georgia,1,3,4,One man was killed and two other adults and a sixteen-year-old were wounded while playing cards in an early morning drive-by shooting.[204]
9/2/20,Oakland (3),California,0,4,4,"Three teenagers, two fifteen-year-olds and a seventeen-year-old, and an adult were wounded in the Brookfield Village neighborhood in East Oakland. Police believe it to be a targeted shooting.[205]"
8/31/20,Tallahassee,Florida,0,4,4,"Police responding to a call of several people shot, found two adults and two teenagers aged thirteen and seventeen-years-old wounded in a townhouse complex.[206]"
8/30/20,San Antonio(6),Texas,2,2,4,"A nineteen and seventeen-year-old were killed and two other teenagers were wounded, when a vehicle pulled up to the car that they were in and opened fire. Officers believe at least one person in the vehicle was the intended target.[207]"
8/30/20,Lexington(2),Kentucky,0,7,7,Seven people were wounded at a community gathering at a local community center. Eyewitnesses were split on how the shooting occurred.[208]
8/30/20,Buffalo (2),New York,1,4,5,"Five people were wounded in an early morning shooting, with one later dying at a hospital.[209]"
8/30/20,Chicago(37),Illinois,1,4,5,"Five people were shot, one fatally, at a restaurant in Morgan Park.[210]"
8/30/20,Madisonville,Kentucky,0,5,5,Four adults and a fourteen-year-old girl were injured at a block party when an unknown individual opened fire early in the morning.[211]
